record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
independent_vs_final,FNH_PA10,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,FNH_PA10,d2_d5_intersection,,,,,,,,[],[],[],,0.5,1005753,,953376,,,0.9282206531576022,0.866055737957875,0.9537181552713725,0.9040509946279056,,,,,,,,,,,,,,909252,1049877,0.05259913206100464,953376,1084261,1010346,,,,,,,,,,,,,,,,,
ensemble,FNH_PA10,d2_d5_union,,,,,,,,[],[],[],,0.5,1005753,,1084261,,,0.9302913760386294,0.8696680153830602,0.8966116091974164,0.9666001493408422,,,,,,,,,,,,,,972161,1117853,0.05259913206100464,953376,1084261,1010346,,,,,,,,,,,,,,,,,
ensemble,FNH_PA10,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,1005753,,1010346,,,0.9351693542827014,0.8782329453457325,0.9330437295738292,0.9373046861406329,,,,,,,,,,,,,,942697,1073402,0.05259913206100464,953376,1084261,1010346,,,,,,,,,,,,,,,,,
ensemble,FNH_PA10,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,1005753,,1024502,,,0.9359129764487712,0.8795455218740511,0.9273490925347144,0.9446365061799468,,,,,,,,,,,,,,950071,1080184,0.05259913206100464,953376,1084261,1010346,,,,,,,,,,,,,,,,,
layer,FNH_PA32,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,281818,2096460.8270286918,1864426,13869575.661930025,6.6157094294899546,0.04523716781502942,0.023142023712648955,0.026037504304273807,0.17225656274616952,11,751.0,5586.733569532633,0.18181818181818182,2.4136114814961816e-05,100,,,,,,,,48545,2097699,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA32,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,281818,2096460.8270286918,240355,1788015.1093275845,0.8528731308858909,0.8658816139478679,0.7634843280885367,0.9405670778639929,0.8021843885060571,1,240355.0,1788015.1093275845,0.0,0.0,100,,,,,,,,226070,296103,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA32,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,281818,2096460.8270286918,270644,2013336.7778862715,0.9603502970001916,0.9171961148459079,0.8470565422060554,0.9361301192710719,0.8990128380727987,4,18.0,133.90306824445724,0.75,0.0001588803003207165,100,,,,,,,,253358,299104,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA32,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,281818,2096460.8270286918,275661,2050658.5386297405,0.9781525665500429,0.9243469260725516,0.8593355501672632,0.9346697574194391,0.9142496220965304,2,137830.5,1025329.2693148702,0.0,0.0,100,,,,,,,,257652,299827,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA32,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,281818,2096460.8270286918,276513,2056996.6171933115,0.9811757943069641,0.9418964735972031,0.8901742127250445,0.9509317825925002,0.9330312471169336,3,5.0,37.19529673457146,0.6666666666666666,2.1698798971476928e-05,100,,,,,,,,262945,295386,,,,,,,,,,,,,,,,,,,,,
